ONTENT_TYPE,POST_ID,URL,category,post_title,session,page_view,click_app_store,article_ctr,imp,click,search_ctr,sum_position,avg_position,sales,pv_unit_sales,app_link_click,cv,cvr,growth_rate
column,22593,https://good-apps.jp/media/column/22593,"写真編集／加工, 写真・動画",【星空の撮り方】一眼レフは不要？スマホで簡単に撮影できるアプリ,7.00,8.40,1.60,19.05%,200.67,5.33,2.66%,"2,693.67",14.88,,0.00,5.2,0,0.00%,
column,13709,https://good-apps.jp/media/column/13709,"ライフスタイル, 料理",レシピアプリおすすめランキング6選｜無料＆人気｜献立を自動で作成,8.20,8.40,1.80,21.43%,"1,145.67",4.00,0.35%,"9,098.00",8.93,,0.00,13.8,0,0.00%,
column,4915,https://good-apps.jp/media/column/4915,"ゲーム, パズルゲーム",【[Y]年最新】おすすめパズルゲームランキングBEST15,7.00,8.40,2.20,26.19%,527.33,3.33,0.63%,"7,934.33",15.97,900.00,107.14,18.4,0.2,9.09%,
column,16702,https://good-apps.jp/media/column/16702,"マッチングアプリ, ライフスタイル",【例文付き】マッチングアプリで高評価プロフィールの書き方のコツ,8.20,8.20,0.00,0.00%,414.33,7.00,1.69%,"4,269.67",11.35,,0.00,4.666666667,0,0.00%,
column,18587,https://good-apps.jp/media/column/18587,"カメラ, 写真・動画",【写真の影を簡単に消す方法】無料のおすすめアプリもご紹介！,7.40,8.20,0.80,9.76%,"1,039.33",6.00,0.58%,"8,354.33",9.05,140.00,17.07,10.4,0.2,25.00%,
column,7552,https://good-apps.jp/media/column/7552,"バイト, ビジネス・仕事",おすすめバイトアプリ徹底比較！[Y]年ランキング【スキマバイト・単発】,6.00,8.00,1.20,15.00%,889.00,4.00,0.45%,"18,852.33",22.00,680.00,85.00,18.75,0.5,41.67%,
column,20730,https://good-apps.jp/media/column/20730,"写真編集／加工, 写真・動画",【[Y]年】写真合成アプリおすすめランキング！選び方徹底ガイド,7.20,8.00,1.80,22.50%,"1,356.00",5.33,0.39%,"13,875.33",11.20,,0.00,12.2,0,0.00%,
column,8410,https://good-apps.jp/media/column/8410,"ヘアスタイル, 美容・おしゃれ",似合う髪型診断アプリおすすめランキング｜無料でシミュレーション,7.40,8.00,1.40,17.50%,576.00,6.00,1.04%,"10,443.67",19.18,,0.00,2,0,0.00%,
column,240,https://good-apps.jp/media/column/240,"ツール, スマホ活用",【対処法】アプリのアップデートが遅い！通信が重い時にはコレで解決,7.40,8.00,0.00,0.00%,696.67,6.00,0.86%,"4,136.00",7.23,,0.00,,,0.00%,
column,6460,https://good-apps.jp/media/column/6460,"英語学習, 勉強, 勉強サポート",【[Y]年最新】勉強アプリおすすめ6選！小学生から社会人まで,7.40,8.00,0.00,0.00%,398.33,2.00,0.50%,"5,920.00",15.84,,0.00,2.333333333,0,0.00%,
column,787,https://good-apps.jp/media/column/787,"テーマ別, ライブ配信, フリマ・オークション, ポイ活, バイト, エンターテインメント, ショッピング・オークション, ファイナンス・マネー, ビジネス・仕事, その他",【初心者向け】おすすめ副業アプリ20選！怪しい業者の見分け方も解説【怖い？】,6.80,8.00,0.40,5.00%,"1,286.00",4.67,0.36%,"18,719.00",15.55,,0.00,5.4,0,0.00%,
column,21207,https://good-apps.jp/media/column/21207,"その他, アプリ解説",【[Y]】LINEの通知が来ない!?原因と解決策まとめ,8.00,8.00,0.00,0.00%,347.67,3.00,0.86%,"4,045.33",12.63,,0.00,,,0.00%,
column,101,https://good-apps.jp/media/column/101,"ニュース, ニュース・天気, その他, アプリ解説",ヤフーニュースアプリの通知設定から記事の非表示方法を紹介,7.60,7.80,0.00,0.00%,669.33,2.33,0.35%,"5,777.33",9.61,,0.00,,,0.00%,
column,23386,https://good-apps.jp/media/column/23386,"ゲーム, パズルゲーム",無料で遊べる！マージゲームアプリおすすめランキング5選,5.60,7.80,1.00,12.82%,696.67,5.33,0.77%,"6,514.00",10.40,,0.00,7.2,0,0.00%,
column,16714,https://good-apps.jp/media/column/16714,"バイト, ビジネス・仕事",シフト管理アプリおすすめ5選！店長も従業員も無料でシフト表を作成,6.60,7.60,3.00,39.47%,810.67,6.00,0.74%,"14,102.33",18.32,,0.00,14,0,0.00%,
column,25101,https://good-apps.jp/media/column/25101,"英語学習, 勉強",【[Y]年】英語力の向上に！英語日記アプリ無料おすすめ10選,6.60,7.20,2.20,30.56%,68.33,5.67,8.29%,853.00,13.45,,0.00,19,0,0.00%,
column,23146,https://good-apps.jp/media/column/23146,"英語学習, 勉強",1級まで対応！無料で使える英検アプリおすすめ人気ランキング3選,6.40,7.00,1.20,17.14%,211.33,3.33,1.58%,"2,459.00",12.66,,0.00,2.8,0,0.00%,
column,8216,https://good-apps.jp/media/column/8216,"ショッピング, 資産管理, ショッピング・オークション, ファイナンス・マネー",[Y]年｜ふるさと納税アプリ（サイト）おすすめ19選｜徹底比較,7.20,7.00,0.00,0.00%,217.00,2.33,1.08%,"5,513.33",27.04,,0.00,1.5,0,0.00%,
column,25268,https://good-apps.jp/media/column/25268,"勉強, 勉強サポート",【[Y]】デジタルならではの使いやすさ！国語辞典アプリおすすめ5選,4.20,7.00,1.20,17.14%,111.33,3.67,3.29%,"2,158.00",20.16,,0.00,10.4,0,0.00%,
column,6762,https://good-apps.jp/media/column/6762,"天気予報, ニュース・天気",現在地の雨雲をチェックしよう！雨雲レーダーアプリおすすめ7選【[Y]】,5.40,6.60,1.80,27.27%,977.67,5.00,0.51%,"7,708.00",8.90,585.00,88.64,3,0.6666666667,37.04%,
column,5859,https://good-apps.jp/media/column/5859,"ゲーム, シミュレーションゲーム, RPG, パズルゲーム",【[Y]年最新】恋愛ゲームアプリおすすめ6選,6.20,6.60,0.60,9.09%,715.33,4.33,0.61%,"6,612.33",10.27,,0.00,7,0,0.00%,
column,81,https://good-apps.jp/media/column/81,"エンターテインメント, 漫画・読書, その他, アプリ解説",ebookjapanアプリの使い方やログインできない時の対処方法,6.00,6.40,0.60,9.37%,196.33,4.67,2.38%,"1,492.67",8.85,,0.00,,,0.00%,
column,22219,https://good-apps.jp/media/column/22219,"ライフスタイル, 料理",【[Y]年最新】離乳食アプリおすすめランキング4選【無料】,6.20,6.40,0.80,12.50%,320.33,4.33,1.35%,"2,583.00",9.06,,0.00,7.6,0,0.00%,
column,2808,https://good-apps.jp/media/column/2808,"ライブ配信, エンターテインメント",【[Y]年最新】ライブ配信アプリおすすめランキング！選び方や注意点を徹底解説,4.80,6.40,0.80,12.50%,"1,124.33",4.33,0.39%,"14,341.67",13.83,,0.00,8.6,0,0.00%,
column,20345,https://good-apps.jp/media/column/20345,"ツール, 写真編集／加工, 写真・動画, イラスト・デザイン",【[Y]】写真に落書きを入れるおすすめ人気ランキング7選,5.60,6.20,0.60,9.68%,997.67,3.33,0.33%,"8,087.67",9.09,,0.00,10.5,0,0.00%,
column,2695,https://good-apps.jp/media/column/2695,"ツール, スマホ活用, ニュース, ニュース・天気",ウィジェットが利用できるニュースアプリ9選をご紹介!,6.20,6.20,2.40,38.71%,489.67,7.00,1.43%,"3,639.00",8.39,,0.00,1.333333333,0,0.00%,
column,9579,https://good-apps.jp/media/column/9579,"ツール, バイト, ビジネス・仕事, 計測ツール",【[Y]年最新】タイムカードアプリおすすめランキング9選,6.40,6.20,0.60,9.68%,849.33,5.67,0.67%,"19,393.33",23.82,,0.00,,,0.00%,
column,18112,https://good-apps.jp/media/column/18112,"ポイ活, ファイナンス・マネー",歩くだけで〇〇円ゲット！初心者でも簡単！歩いてポイ活を始めるための安全ガイド,5.00,6.20,0.40,6.45%,389.33,4.00,1.03%,"4,886.00",13.53,,0.00,15.8,0,0.00%,
column,5445,https://good-apps.jp/media/column/5445,"アウトドア, ライフスタイル",【[Y]年】キャンプにもおすすめ！アウトドアアプリ5選,4.80,6.00,0.40,6.67%,222.33,4.00,1.80%,"1,210.67",6.53,,0.00,1,0,0.00%,
